id	name	gender	born	died	popularity	biography	image
28	Rumi Hiiragi	1	1987		8	Rumi Hiiragi (born August 1, 1987 in Tokyo) is a Japanese actress.	/zITaVtFyc4xSM3mxSoPRWHbqgJI.jpg
29	Miyu Irino	2	1988		7	Miyu Irino is a Japanese actor and voice actor from Tokyo. He voices the lead character Sora in the Kingdom Hearts video game series. His major anime...	/dcZ4IJX8CBcJzxy8hhKFXv59LDE.jpg
30	Mari Natsuki	1	1952		12	Junko Nakajima (中島 淳子 Nakajima Junko, born 2 May 1952), more commonly known by her stage name Mari Natsuki (夏木 マリ Natsuki Mari), is a Japanese...	/aRs3dGqA2bCuGSZ7lJGhQKe8rhp.jpg
31	Makoto Shinkai	2	1973		24	Makoto Niitsu (新津 誠, Niitsu Makoto), also known as Makoto Shinkai (新海 誠, Shinkai Makoto), is a Japanese animator, filmmaker and manga artist best...	/mSCk6PmAR99bCsKJYlMx94vq5qe.jpg
32	Ryunosuke Kamiki	2	1993		9	Ryunosuke Kamiki is a Japanese actor. He entered the industry in 1995 when he was only 2 years old. He made his drama debut in "Good News", which...	/6MwcfIUraHuKOmwjT4gX8BBB2T6.jpg
33	Mone Kamishiraishi	1	1998		12	Mone Kamishiraishi is an actress. She was named a Newcomer of the Year at the 38th Japan Academy Prize for her role in the 2014 musical comedy...	/cPydoy2sSqFDsbXeBPmzQGPmq0R.jpg
34	Ryo Narita	2	1993		6	Ryo Narita is a model and actor from Saitama Prefecture, Japan.	/2EFimbwi4lf9B19cgu2bJaNJiVq.jpg
35	Sidney Lumet	2	1924	2011	6	Sidney Lumet (June 25, 1924 – April 9, 2011) was an American director, producer and screenwriter with over 50 films to his name. He was nominated for...	/zuYwoP6mTEAJu9pTZ7u3NKP67gu.jpg
36	Martin Balsam	2	1919	1996	7	Martin Henry Balsam (November 4, 1919 – February 13, 1996) was an American character actor. He is best known for a number of film roles, including...	/2j4LJJfTPQtvnjp8LfSGOvWFATO.jpg
37	John Fiedler	2	1925	2005	16	John Fielder has made his face and voice recognizable to millions as a character actor. Many would know the bald-pated Fiedler as therapy patient Mr....	/6vfLLGeGuO6Ko0VRnyhgE2v6RUu.jpg
38	Lee J. Cobb	2	1911	1976	18	Lee J. Cobb (December 8, 1911 - February 11, 1976) ) was an American actor best known for his performance in 12 Angry Men (1957), his Academy...	/yxMxBvM0PZwu7YXQamG0kFwt9DZ.jpg
39	Tosca Musk	1			5		/usR5NspRlWgXKUe9qVsCtTCpe4l.jpg
40	Melanie Zanetti	1	1985		29	Melanie Zanetti is an Australian film and television actress. She holds a BA in Acting from the University of Southern Queensland, Toowoomba,...	/lbUQ7ilvBtWMU23reKsHg3jRmsf.jpg
41	Giulio Berruti	2	1984		31	Giulio Berruti was born on September 27, 1984 in Rome, Lazio, Italy as Giulio Maria Berruti. He is an actor and producer, known for Monte Carlo...	/cCOWVvjQ1TblPvM7TgMBqMczkOX.jpg
42	Kurt McKinney	2	1962		4		/ebkMXPJXAGsPpfzysNmht6NVtR6.jpg
43	Bong Joon-ho	2	1969		9	Bong Joon-ho (Korean: 봉준호), born September 14, 1969, is a South Korean film director, producer and screenwriter. His films are characterised by...	/tKLJBqbdH6HFj2QxLA5o8Zk7IVs.jpg
44	Song Kang-ho	2	1967		24	Song Kang-ho (송강호) is a South Korean actor. Born on January 17, 1967, he first worked in plays, entering a troupe. He started working in films as a...	/dyWUKQlNyr7SUAjo58VZXvPODkr.jpg
45	Lee Sun-kyun	2	1975		7	Lee Sun-kyun (이선균) is a South Korean actor. He was born on born March 2, 1975. After beginning his career in musical theatre, for many years Lee was...	/mwF2HgyEF2UzxSvNRJEtbWlKbAj.jpg
46	Cho Yeo-jeong	1	1981		25	Cho Yeo-jeong (조여정) is a South Korean actress. Born on February 10, 1981, she began her career as a model in 1997 at the age of 16 and launched her...	/n7YWOoquBL9g3qEwQ2zvrQSW96L.jpg
47	James Andrew Fraser	2			1		
48	Tom Hanks	2	1956		99	Thomas Jeffrey Hanks (born July 9, 1956) is an American actor and filmmaker. Known for both his comedic and dramatic roles, Hanks is one of the most...	/xndWFsBlClOJFRdhSt4NBwiPq2o.jpg
49	David Morse	2	1953		19	David Bowditch Morse (born October 11, 1953) is an American stage, television, and film actor. He first came to national attention as Dr. Jack...	/tghQO2eZOlnOxOz10oikQpyUA0a.jpg
50	Bonnie Hunt	1	1961		11	Bonnie Lynne Hunt (born September 22, 1961) is an American actress, comedian, writer, director, television producer and daytime television host.	/nO1jJO1EVzlryfIViEu4zu5Rytw.jpg
51	Christopher Nolan	2	1970		16	Christopher Edward Nolan, CBE (born 30 July 1970) is a British-American film director, screenwriter, and producer. He was born in Westminster,...	/xuAIuYSmsUzKlUMBFGVZaWsY3DZ.jpg
52	Christian Bale	2	1974		30	Christian Charles Philip Bale (born 30 January 1974) is an English actor. Known for his versatility and recurring physical transformations to play...	/qCpZn2e3dimwbryLnqxZuI88PTi.jpg
53	Heath Ledger	2	1979	2008	24	Heath Andrew Ledger (4 April 1979 – 22 January 2008) was an Australian actor and music video director. After playing roles in several Australian...	/5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg
54	Michael Caine	2	1933		36	Sir Michael Caine CBE (born Maurice Joseph Micklewhite Jr.; 14 March 1933) is an English actor. Known for his distinctive South London accent, he has...	/hZruclwEPCKw3e83rnFSIH5sRFZ.jpg
55	Takahiro Miki	2	1974		2		/jUNq43kSRj6dXzDaUzmcDEsT095.jpg
56	Yuriko Yoshitaka	1	1988		9	Yuriko Yoshitaka is a Japanese actress who is represented by the Japanese agency Amuse. Yoshitaka made her acting debut in 2006. She was given the...	/Zqd3qjiVAfNtBcMAAUNPtvYDV8.jpg
57	Ryusei Yokohama	2	1996		12		/rYEfBHyJ45GPKI0ZTCjukCzONqX.jpg
58	Ryosei Tayama	2	1951		2	Ryôsei Tayama (田山 涼成, Tayama Ryōsei, August 9, 1951) is a Japanese actor and talent born in Midori Ward, Nagoya City, Aichi Prefecture. His real name...	/rrQPfdWrrGyHeXTp7uRFRDe8laW.jpg
59	Sergio Leone	2	1929	1989	22	Sergio Leone (January 3, 1929 – April 30, 1989) was an Italian film director, producer and screenwriter most associated with the "Spaghetti Western"...	/2576qoW8l9Z1nKGM10ar60aIwUu.jpg
60	Clint Eastwood	2	1930		49	Clinton "Clint" Eastwood Jr. (born May 31, 1930) is an American film actor, director, producer, composer and former politician. Following his...	/dU35NnjZ4aGw5abIJe3WXVf3Eey.jpg
61	Eli Wallach	2	1915	2014	13	Eli Herschel Wallach (December 7, 1915 – June 24, 2014) was an American film, television and stage actor, who gained fame in the late 1950s. For his...	/880EvYjyIG9BcrM3Jfof0QofmRe.jpg
62	Lee Van Cleef	2	1925	1989	12	Clarence LeRoy "Lee" Van Cleef Jr. (January 9, 1925 – December 16, 1989) was an American actor best known for his roles in Spaghetti Westerns such as...	/prcDQR2pp0b92j0G8rnX5kQeQk0.jpg
63	Quentin Tarantino	2	1963		29	Quentin Jerome Tarantino (born March 27, 1963) is an American film director, screenwriter, producer, cinematographer and actor. In the early 1990s he...	/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg
64	John Travolta	2	1954		31	An American actor, film producer, dancer, and singer. He first became known in the 1970s, after appearing on the television series Welcome Back,...	/9axs7CGk01nmGqBAppDR92JHucn.jpg
65	Samuel L. Jackson	2	1948		69	An American film and television actor and film producer. After Jackson became involved with the Civil Rights Movement, he moved on to acting in...	/nCJJ3NVksYNxIzEHcyC1XziwPVj.jpg
66	Uma Thurman	1	1970		59	Uma Karuna Thurman (born April 29, 1970) is an American actress, writer, producer and model. She has acted in a variety of films, from romantic...	/tHa7u4ScCm9hwSbwodzj8Jmy3io.jpg
67	Elizabeth Allen Rosenbaum	1			3		
68	Sofia Carson	1	1993		80	Sofía Daccarett Char, better known as Sofia Carson (born April 10, 1993), is an American singer and actress. Her first appearance on television was...	/tA64dzMN0rAYsBpwC3OTsuOxNoC.jpg
69	Nicholas Galitzine	2	1994		37	Nicholas Dimitri Constantine Galitzine (born September 29, 1994) is an English actor known for his roles in High Strung (2016), Handsome Devil...	/i5coqGhvx8wjPXT76W3n3fHwgi0.jpg
70	John Harlan Kim	2	1993		5		/syCWEzV2zFYdYV6Kk4ebTgjGWFK.jpg
71	Peter Jackson	2	1961		16	Sir Peter Robert Jackson, (born 31 October 1961) is a New Zealand film director, producer, actor, and screenwriter, known for his Lord of the Rings...	/4hh7hips4xc6kgpNDQKQH3goRvJ.jpg
72	Elijah Wood	2	1981		26	Elijah Jordan Wood (born January 28, 1981) is an American actor and producer. He is best known for his portrayal of Frodo Baggins in the Lord of the...	/7UKRbJBNG7mxBl2QQc5XsAh6F8B.jpg
73	Ian McKellen	2	1939		29	Sir Ian Murray McKellen, CH, CBE (born 25 May 1939) is an English actor. He is the recipient of six Laurence Olivier Awards, a Tony Award, a Golden...	/5cnnnpnJG6TiYUSS7qgJheUZgnv.jpg
74	Liv Tyler	1	1977		28	Liv Rundgren Tyler (born Liv Rundgren, July 1, 1977) is an American actress, producer, singer and former model. She is best known for her portrayal...	/9IlcL0MWSNz8YLzqSooRHCQD4Dt.jpg
75	Robert Zemeckis	2	1951		14	Robert Lee Zemeckis (born May 14, 1951) is an American film director, producer and screenwriter. Zemeckis first came to public attention in the 1980s...	/lPYDQ5LYNJ12rJZENtyASmVZ1Ql.jpg
76	Robin Wright	1	1966		43	Robin Gayle Wright (born April 8, 1966) is an American actress. She is best known for her roles as Jenny Curran in Forrest Gump, as Buttercup in The...	/lj5o0pvHfWCEaPX3rzeGQkfIQzj.jpg
77	Gary Sinise	2	1955		21	Gary Sinise (born March 17, 1955) is an American actor, film director and musician.	/ngYV91xYfCu0JNcSxJ4yQ7tzOna.jpg
78	Rhett Wellington	0			3		/3WWleE8I95hzi3VxH6TunlfyT7j.jpg
79	Martin Scorsese	2	1942		18	Martin Charles Scorsese (born November 17, 1942) is an American film director, producer, screenwriter, and actor. One of the major figures of the New...	/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg
80	Ray Liotta	2	1954	2022	40	Raymond Allen Liotta (December 18, 1954 – May 26, 2022) was an American actor and producer. His best-known roles include Shoeless Joe Jackson in...	/rhaCUi04uEXDFvuPM5Drj1AprE6.jpg
81	Robert De Niro	2	1943		55	Robert Anthony De Niro Jr. (born August 17, 1943) is an American actor, producer, and director. He is particularly known for his nine collaborations...	/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg
82	Joe Pesci	2	1943		36	Joseph Frank “Joe” Pesci (born February 9, 1943) is an American actor, comedian, singer and musician. He is known for his roles as violent mobsters,...	/4AO0Rwdg2ky8Usmgzgj0dvhy7Zw.jpg
83	Giuseppe Tornatore	2	1956		5	Giuseppe Tornatore (born 27 May 1956) is an Italian film director and screenwriter.  Born in Bagheria near Palermo, Tornatore developed an interest...	/pjVrtNGsCSNs5IeRVr34PMn1hVR.jpg
84	Philippe Noiret	2	1930	2006	8	Philippe Noiret (born 1 October 1930 in Lille – died 23 November 2006 in Paris) was a French film actor.	/13vb0RuOI0t8I1y04pnz81vLptl.jpg
85	Jacques Perrin	2	1941	2022	4	Jacques Perrin was a French actor and filmmaker. He is occasionally credited as Jacques Simonet. Simonet was his father's name and Perrin his...	/5HRh3Ae5pbLB4sUgBz4Rzr9sSPJ.jpg
86	Marco Leonardi	2	1971		12	From Wikipedia, the free encyclopedia	/5VVhO9rPvRgKsZME2gZKtG9WgWD.jpg
87	Akira Kurosawa	2	1910	1998	13	Akira Kurosawa (Kyūjitai: 黒澤 明, Shinjitai: 黒沢 明 Kurosawa Akira; March 23, 1910 – September 6, 1998) was a Japanese film director, producer,...	/uCFWmYXu0EqF5Bd6zWaOS4FxvEB.jpg
88	Toshirō Mifune	2	1920	1997	13	Toshiro Mifune was a Japanese actor who appeared in almost 170 feature films. He is best known for his 16-film collaboration with filmmaker Akira...	/2GU6d2jm2J644FmYxxl4sbq52Bl.jpg
89	Takashi Shimura	2	1905	1982	10	​From Wikipedia, the free encyclopedia.  	/ydyAm2vyBbEPZRICIMqqjDm0NM9.jpg
90	Yoshio Inaba	2	1920	1998	6	​From Wikipedia, the free encyclopedia.  	/5qIAqM5PegWTNq67qNofz78fb6U.jpg
91	Roberto Benigni	2	1952		20	Roberto Remigio Benigni, Knight Grand Cross OMRI (born 27 October 1952) is an Italian actor, comedian, screenwriter and director of film, theatre and...	/noelOhwX1oaNSvU9NLKhPrHTFI3.jpg
92	Nicoletta Braschi	1	1960		4	​From Wikipedia, the free encyclopedia.	/i1BYJhg2V6PZEkCaMyYNLRqutmM.jpg
93	Giorgio Cantarini	2	1992		7	Born and raised in Florence, Italy, Giorgio was the only child born to Rimazio and La Tina Cantarini. Soon after Giorgio, whose family nickname is...	/hzb7CRUnOitz31kQbgUqJpIPcLO.jpg
94	James Woods	2	1947		18	James Howard Woods (born April 18, 1947) is an American film, stage and television actor. Woods is known for starring in critically acclaimed films...	/tLH7mpH4KqkWL5VgjueTbewGsfK.jpg
95	Elizabeth McGovern	1	1961		35	Elizabeth McGovern (born July 18, 1961) is an American film, television, and theater actor.	/ihYdCKyr3JPz74tPuvkn1WSNh9b.jpg
96	Alfred Hitchcock	2	1899	1980	16	Sir Alfred Joseph Hitchcock, KBE (13 August 1899 – 29 April 1980), was an English director and producer. He became known for thrillers, earning him...	/108fiNM6poRieMg7RIqLJRxdAwG.jpg
97	Anthony Perkins	2	1932	1992	10	Anthony Perkins (April 4, 1932 – September 12, 1992) was an American actor and singer. He is best known for his role as Norman Bates in Alfred...	/7FipKwmg2woHNvt5ATeXLBirHXs.jpg
98	Janet Leigh	1	1927	2004	25	Janet Leigh (July 6, 1927 – October 3, 2004), born Jeanette Helen Morrison, was an American actress. She was the wife of actor Tony Curtis from June...	/2dv9IqJEx31RSoH7xAHlJZXF5uB.jpg
99	Vera Miles	1	1929		4	Vera June Miles (born August 23, 1929) is an American actress. Born in Boise City, Oklahoma, Vera Miles attended school in Pratt,  Kansas and...	/7LYmvlED12KqDonOcN90OKZHG3S.jpg
100	Masaki Kobayashi	2	1916	1996	11	Masaki Kobayashi (February 14, 1916–October 4, 1996) was a Japanese director.	/5epZ39mf1Ii7xOjqYx2YYq39y5X.jpg
101	Tatsuya Nakadai	2	1932		13	​From Wikipedia, the free encyclopedia.  	/cM9HpQH7Mw8aXsrKGmePEZdhUIU.jpg
102	Akira Ishihama	2	1935	2022	4		/sQC3XSIR0LeYPz11VJt8nJoeRKY.jpg
103	Shima Iwashita	1	1941		4	Shima Shinoda, better known as Shima Iwashita (born January 3, 1941, in Tokyo, Japan) is a Japanese actress. She is married to film director Shinoda...	/1dMsifeO8GoAbA3ycEGYni3w0E1.jpg
104	Isao Takahata	2	1935	2018	6	Isao Takahata (October 29, 1935 - April 5, 2018), co-founder of Studio Ghibli, was one of the most famous directors of Japanese animated films....	/xTkZOWe1VU4xNba1lO0T9trFLHm.jpg
105	Tsutomu Tatsumi	2	1972		3		/pmOjSeSAnkdFB9T5ns0gNMf3F0C.jpg
106	Ayano Shiraishi	1	1982		4		/yq981A4jzvSx5z1xfMoDadcDOhn.jpg
107	Yoshiko Shinohara	1	1948		1		
108	Kotaro Tamura	2			2		
109	Taishi Nakagawa	2	1998		8	Taishi Nakagawa is a Japanese actor, host, and model. He is best known in his role as Kakeru Asuda in the 2011 drama Kaseifu no Mita and Noboru...	/mOAiut7G6XeR9qQlmZEmcACzeuA.jpg
110	Kaya Kiyohara	1	2002		7	Kiyohara Kaya is a Japanese actress and model. She was born in Osaka and is represented by Amuse. Kaya is the winner of the "Amuse Audition Festival...	/p5kjOfECjTSddS5Gz2ztN2JrWDE.jpg
111	Yume Miyamoto	1	1997		4		/1bpMweFhnzx40CbVP8aU05H8iaJ.jpg
112	Guel Arraes	2	1953		1	Guel Arraes was born on December 12, 1953 in Recife, Pernambuco, Brazil. He is a director and writer, known for A Dog's Will (2000), Lisbela and the...	/frBx9AAVbssDIaVh1wzfqnNEJ8b.jpg
113	Matheus Nachtergaele	2	1969		4	Matheus Nachtergaele was born in Sao Paulo, Brazil, in 1969. He showed his talent in many roles, both in cinema and television. Best known for City...	/c8w75b4TlLdXEnnpAgd4R22NDGY.jpg
114	Selton Mello	2	1972		3	Selton Figueiredo Mello is a Brazilian actor and director. Since his childhood, he acted on TV shows. Now he works on TV, movies and theater....	/sd9pWha3ThWyX5DPsVnZVPKSJ9W.jpg
115	Rogério Cardoso	2	1937	2003	1	Em 1952 começou a trabalhar como contrarregra de radio teatro na Rádio Clube de Mococa. Foi cantor de auditório de rádio durante os anos de 1955 e...	/ertp7Yo3BhAA9FXaXJo4LDK9Out.jpg
116	David Fincher	2	1962		16	David Andrew Leo Fincher (born August 28, 1962) is an American film director. His films, mostly psychological thrillers and biographical dramas, have...	/tpEczFclQZeKAiCeKZZ0adRvtfz.jpg
117	Edward Norton	2	1969		18	Edward Harrison Norton (born August 18, 1969) is an American actor and filmmaker. He has received numerous awards and nominations, including a Golden...	/5XBzD5WuTyVQZeS4VI25z2moMeY.jpg
118	Brad Pitt	2	1963		65	William Bradley Pitt (born December 18, 1963) is an American actor and film producer. He is the recipient of various accolades, including an Academy...	/lnMiSPqrDDvA1juXYc8pnnyKmo9.jpg
119	Helena Bonham Carter	1	1966		48	Helena Bonham Carter CBE (born 26 May 1966) is an English actress. Known for her roles in independent films and blockbusters, especially period...	/DDeITcCpnBd0CkAIRPhggy9bt5.jpg
120	Miloš Forman	2	1932	2018	3	Jan Tomáš "Miloš" Forman (/ˈmiːloʊʃ/; Czech: [ˈmɪloʃ ˈforman]; 18 February 1932 – 13 April 2018) was a Czech and American film director,...	/O2Crxh0l3u1mxHvjA6003gEpi7.jpg
121	Jack Nicholson	2	1937		19	John Joseph "Jack" Nicholson (born April 22, 1937) is an American actor, film director, producer and writer. He is renowned for his often dark-themed...	/6h12pZsgj3WWjMtykUgfLkLEBWz.jpg
122	Louise Fletcher	1	1934		13	​From Wikipedia, the free encyclopedia.	/hN15em5LqXqDe1QgDa6lXK9fx3z.jpg
123	Danny DeVito	2	1944		26	Danny DeVito (born November 17, 1944) is an American actor, comedian, director, and producer. He first gained prominence for his portrayal of Louie...	/uLW4Y9yjtwxtVmcJfwHZ7sKJai4.jpg
124	Rodney Rothman	2			3		/75yKuJr1wL8qesEDYL2IHK67BEx.jpg
125	Shameik Moore	2	1995		4	From Wikipedia, the free encyclopedia	/gaSgfLOp9PiKVYmAEuLrcnwP7gV.jpg
126	Jake Johnson	2	1978		24	Jake Johnson (born May 28, 1978) is an American actor and comedian. He is best known for his role as Nick Miller on the Fox television sitcom New...	/nUfiDAafxbxIqmjbZf0oEcmh3kn.jpg
127	Hailee Steinfeld	1	1996		54	Hailee Steinfeld (born December 11, 1996) is an American actress and singer. Known for her acting versatility and musical prowess, she is the...	/gI5nV33bBDfHVvu9365Q7QP1suv.jpg
128	Takahiro Omori	2	1965		3	Takahiro Omori (大森 貴弘, Ōmori Takahiro) (born June 25, 1965) is a Japanese animator, storyboard writer, and director. He has directed many anime...	/d1Yly8QOFS78YLUcV98EQIg3loW.jpg
129	Izumi Sawada	1			1	Izumi Sawada (沢田 泉, Sawada Izumi, born on december 10th) is a japanese female voice actress born in the Saitama Prefecture. She is affiliated with...	/A59nyfer38Q2J84Fy1lUbqgIFN1.jpg
130	Hayato Taya	0			5		
131	Ayane Sakura	1	1994		12	Ayane Sakura is a Japanese voice actress affiliated with I'm Enterprise. She has also performed theme songs and character songs for various series...	/6IxCswQIxI8AlKezwOfk9eS9eGC.jpg
132	Hideaki Anno	2	1960		6	Hideaki Anno (born May 22, 1960 in Ube, Yamaguchi) is a Japanese animation and film director. Anno is best known for his work on the popular anime...	/AfV9h1RW6uALpx751APdUoX8ONc.jpg
133	Megumi Ogata	1	1965		9	Megumi Ogata is a Japanese voice actress and singer from the Greater Tokyo Area. As a singer, she goes by the name em:óu. She attended...	/eNdfMUyZgG5P4TNIZpbTAu8gBs9.jpg
134	Yuko Miyamura	1	1972		3	Yūko Miyamura is a Japanese actress, voice actress, singer and sound director. Her nickname is Miyamū. She played Kazuha Toyama in Detective Conan...	/dVfbS1oiGuzXk5IZLNSsfoLNjUR.jpg
135	Megumi Hayashibara	1	1967		12	Megumi Hayashibara (林原 めぐみ Hayashibara Megumi) (born March 30, 1967) is a Japanese voice actress, singer, radio personality, and lyricist from Tokyo.	/cZcdY6N7QbkIyEl3mN5fwtRxSxJ.jpg
136	Fernando Meirelles	2	1955		4	Fernando Meirelles (born November 9, 1955 in São Paulo, Brazil) is a Brazilian film director. He was nominated for an Academy Award for Best Director...	/at0fRZl4fJwqaytXOfvgs1lOM9E.jpg
137	Alexandre Rodrigues	2	1983		6	Alexandre Rodrigues is a Brazilian actor. He is most famous for playing the part of Buscapé, the narrator and protagonist in the 2002 film City of...	/sN0o245HMVYTnEWPBYt3qdiQupq.jpg
138	Leandro Firmino	2	1978		9		/xIn29cQ1Xc6c0SvksbeXTpfRr1W.jpg
139	Phellipe Haagensen	2	1984		5		/3dxy4unadLTAb6aUQUyX2r3AkE.jpg
140	Naoko Yamada	1	1984		6	Naoko Yamada (山田 尚子) is a Japanese animator, television and film director. Working at Kyoto Animation, she directed the K-On! and Tamako Market anime...	/oJxJKske3yvJqgId30t24qRwDD1.jpg
141	Saori Hayami	1	1991		17	Saori Hayami is a Japanese voice actress, singer and narrator. She is represented by the agency I'm Enterprise.] As a singer, she is signed to...	/idFQBETcsRV7Uy7InV2x9e2iFWq.jpg
142	Aoi Yuki	1	1992		11	Aoi Yuki is a Japanese voice actress, actress and singer.	/4kHNZSUIux52UU2BD3H6b5c5ymZ.jpg
143	Kotono Mitsuishi	1	1967		5	Kotono Mitsuishi is a Japanese voice actress and narrator from Tokyo. She was affiliated with Arts Vision and Lasley Arrow. As a young girl,...	/mvKgkuAVVMmjkFWlwVQu8KCa80O.jpg
144	Taichi Ishidate	2	1979		2	Taichi Ishidate (石立 太一, Ishidate Taichi) was born in 1979. He is a Kyoto Animation animator and one of the teachers of the studio's animation school.	/nBPuRvo9oWFWqzZiS8U4P9j0qtg.jpg
