Manufacturer	Name	MPG	Cylinders	Displacement	Horsepower	Weight	Acceleration	Year	Region
Chevy	C20	10	8	307	200	4376	15	1970	USA
Chevy	S-10	31	4	119	82	2720	19.4	1982	USA
Chrysler	Cordoba	15.5	8	400	190	4325	12.2	1977	USA
Chrysler	Lebaron Medallion	26	4	156	92	2585	14.5	1982	USA
Chrysler	Lebaron Salon	17.6	6	225	85	3465	16.6	1982	USA
Chrysler	Lebaron Town + Country	18.5	8	360	150	3940	13	1979	USA
Chrysler	New Yorker Brougham	13	8	440	215	4735	11	1973	USA
Chrysler	Newport Royal	13	8	400	190	4422	12.5	1972	USA
Datsun	1200	35	4	72	69	1613	18	1971	Japan
Datsun	200SX	23.9	4	119	97	2405	14.9	1978	Japan
Datsun	200SX	32.9	4	119	100	2615	14.8	1982	Japan
Datsun	210	31.8	4	85	65	2020	19.2	1979	Japan
Datsun	210	37	4	85	65	1975	19.4	1982	Japan
Datsun	210	40.8	4	85	65	2110	19.2	1980	Japan
Datsun	280ZX	32.7	6	168	132	2910	11.4	1980	Japan
Datsun	310	37.2	4	86	65	2019	16.4	1980	Japan
Datsun	310GX	38	4	91	67	1995	16.2	1982	Japan
Datsun	510	27.2	4	119	97	2300	14.7	1978	Japan
Datsun	510	28	4	97	92	2288	17	1972	Japan
Datsun	510 Hatchback	37	4	119	92	2434	15	1980	Japan
Datsun	610	22	4	108	94	2379	16.5	1973	Japan
Datsun	710	24	4	119	97	2545	17	1975	Japan
Datsun	710	32	4	83	61	2003	19	1974	Japan
Datsun	810	22	6	146	97	2815	14.5	1977	Japan
Datsun	810 Maxima	24.2	6	146	120	2930	13.8	1982	Japan
Datsun	B210	32	4	85	70	1990	17	1976	Japan
Datsun	B210	31	4	79	67	1950	19	1974	Japan
Datsun	B210 GX	39.4	4	85	70	2070	18.6	1978	Japan
Datsun	F-10 Hatchback	33.5	4	85	70	1945	16.8	1977	Japan
Datsun	PL510	27	4	97	88	2130	14.5	1970	Japan
Datsun	PL510	27	4	97	88	2130	14.5	1971	Japan
Dodge	Aries SE	29	4	135	84	2525	16	1982	USA
Dodge	Aries Wagon	25.8	4	156	92	2620	14.4	1982	USA
Dodge	Aspen	18.6	6	225	110	3620	18.7	1978	USA
Dodge	Aspen	19.1	6	225	90	3381	18.7	1980	USA
Dodge	Aspen 6	20.6	6	225	110	3360	16.6	1979	USA
Dodge	Aspen SE	20	6	225	100	3651	17.7	1976	USA
Dodge	Challenger SE	15	8	383	170	3563	10	1970	USA
Dodge	Charger 2.2	36	4	135	84	2370	13	1982	USA
Dodge	Colt	26	4	98	79	2255	17.7	1976	USA
Dodge	Colt	27.9	4	156	105	2800	14.4	1980	USA
Dodge	Colt	28	4	90	75	2125	14.5	1974	USA
Dodge	Colt	28	4	98	80	2164	15	1972	USA
Dodge	Colt Hardtop	25	4	97.5	80	2126	17	1972	USA
Dodge	Colt Hatchback Custom	35.7	4	98	80	1915	14.4	1979	USA
Dodge	Colt M/M	33.5	4	98	83	2075	15.9	1977	USA
Dodge	Coronet Brougham	16	8	318	150	4190	13	1976	USA
Dodge	Coronet Custom	15	8	318	150	3777	12.5	1973	USA
Dodge	Coronet Custom	14	8	318	150	4457	13.5	1974	USA
Dodge	D100	13	8	318	150	3755	14	1976	USA
Dodge	D200	11	8	318	210	4382	13.5	1970	USA
Dodge	Dart Custom	15	8	318	150	3399	11	1973	USA
Dodge	Diplomat	19.4	8	318	140	3735	13.2	1978	USA
Dodge	Magnum XE	17.5	8	318	140	4080	13.7	1978	USA
Dodge	Monaco	12	8	383	180	4955	11.5	1971	USA
Dodge	Monaco Brougham	15.5	8	318	145	4140	13.7	1977	USA
Dodge	Omni	30.9	4	105	75	2230	14.5	1978	USA
Dodge	Rampage	32	4	135	84	2295	11.6	1982	USA
Dodge	St. Regis	18.2	8	318	135	3830	15.2	1979	USA
Fiat	124 Sport Coupe	26	4	98	90	2265	15.5	1973	Europe
Fiat	124 TC	26	4	116	75	2246	14	1974	Europe
Fiat	124B	30	4	88	76	2065	14.5	1971	Europe
Fiat	128	24	4	90	75	2108	15.5	1974	Europe
Fiat	128	29	4	68	49	1867	19.5	1973	Europe
Fiat	131	28	4	107	86	2464	15.5	1976	Europe
Fiat	Strada Custom	37.3	4	91	69	2130	14.7	1979	Europe
Fiat	X1.9	31	4	79	67	2000	16	1974	Europe
Ford	Country	12	8	400	167	4906	12.5	1973	USA
Ford	Country Squire	13	8	400	170	4746	12	1971	USA
Ford	Country Squire	15.5	8	351	142	4054	14.3	1979	USA
Ford	Escort 2H	29.9	4	98	65	2380	20.7	1982	USA
Ford	Escort 4W	34.4	4	98	65	2045	16.2	1982	USA
Ford	F108	13	8	302	130	3870	15	1976	USA
Ford	F250	10	8	360	215	4615	14	1970	USA
Ford	Fairmont	26.4	4	140	88	2870	18.1	1980	USA
Ford	Fairmont (auto)	20.2	6	200	85	2965	15.8	1978	USA
Ford	Fairmont (manual)	25.1	4	140	88	2720	15.4	1978	USA
Ford	Fairmont 4	22.3	4	140	88	2890	17.3	1979	USA
Ford	Fairmont Futura	24	4	140	92	2865	16.4	1982	USA
Ford	Fiesta	36.1	4	98	66	1800	14.4	1978	USA
Ford	Futura	18.1	8	302	139	3205	11.2	1978	USA
Ford	Galaxie 500	14	8	351	153	4129	13	1972	USA
Ford	Galaxie 500	14	8	351	153	4154	13.5	1971	USA
Ford	Galaxie 500	15	8	429	198	4341	10	1970	USA
Ford	Gran Torino	13	8	302	140	4294	16	1972	USA
Ford	Gran Torino	14	8	302	137	4042	14.5	1973	USA
Ford	Gran Torino	16	8	302	140	4141	14	1974	USA
Ford	Gran Torino	14.5	8	351	152	4215	12.8	1976	USA
Ford	Granada	18.5	6	250	98	3525	19	1977	USA
Ford	Granada Ghia	18	6	250	78	3574	21	1976	USA
Ford	Granada GL	20.2	6	200	88	3060	17.1	1982	USA
Ford	Granada L	22	6	232	112	2835	14.7	1982	USA
Ford	LTD	13	8	351	158	4363	13	1973	USA
Ford	LTD	14	8	351	148	4657	13.5	1975	USA
Ford	LTD Landau	17.6	8	302	129	3725	13.4	1979	USA
Ford	Maverick	15	6	250	72	3158	19.5	1975	USA
Ford	Maverick	18	6	250	88	3021	16.5	1973	USA
Ford	Maverick	21	6	200	85	2587	16	1970	USA
Ford	Maverick	21	6	200	85	2875	17	1974	USA
Ford	Maverick	24	6	200	81	3012	17.6	1976	USA
Ford	Mustang	18	6	250	88	3139	14.5	1971	USA
Ford	Mustang Boss 302	23.6	8	302	140	3353	8	1970	USA
Ford	Mustang Cobra	23.6	4	140	86	2905	14.3	1980	USA
Ford	Mustang GL	27	4	140	86	2790	15.6	1982	USA
Ford	Mustang II	13	8	302	129	3169	12	1975	USA
Ford	Mustang II 2+2	25.5	4	140	89	2755	15.8	1977	USA
Ford	Pinto	25	4	98	83	2046	19	1971	USA
Ford	Pinto	22	4	122	86	2395	16	1972	USA
Ford	Pinto	19	4	122	85	2310	18.5	1973	USA
Ford	Pinto	26	4	122	80	2451	16.5	1974	USA
Ford	Pinto	18	6	171	97	2984	14.5	1975	USA
Ford	Pinto	26.5	4	140	72	2565	13.6	1976	USA
Ford	Pinto Runabout	21	4	122	86	2226	16.5	1972	USA
Ford	Ranger	28	4	120	79	2625	18.6	1982	USA
Ford	Thunderbird	16	8	351	149	4335	14.5	1977	USA
Ford	Torino	17	8	302	140	3449	10.5	1970	USA
Ford	Torino 500	19	6	250	88	3302	15.5	1971	USA
Honda	Accord	32.4	4	107	72	2290	17	1980	Japan
Honda	Accord	36	4	107	75	2205	14.5	1982	Japan
Honda	Accord	31.5	4	98	68	2045	18.5	1977	Japan
Honda	Accord LX	29.5	4	98	68	2135	16.6	1978	Japan
Honda	Civic	24	4	120	97	2489	15	1974	Japan
Honda	Civic	33	4	91	53	1795	17.4	1976	Japan
Honda	Civic	38	4	91	67	1965	15	1982	Japan
Honda	Civic (auto)	32	4	91	67	1965	15.7	1982	Japan
Honda	Civic 1300	35.1	4	81	60	1760	16.1	1982	Japan
Honda	Civic 1500 GL	44.6	4	91	67	1850	13.8	1980	Japan
Honda	Civic	33	4	91	53	1795	17.5	1975	Japan
Honda	Civic	36.1	4	91	60	1800	16.4	1978	Japan
Honda	Prelude	33.7	4	107	75	2210	14.4	1982	Japan
Mazda	GLC Deluxe	34.1	4	86	65	1975	15.2	1979	Japan
Mazda	626	31.3	4	120	75	2542	17.5	1980	Japan
Mazda	626	31.6	4	120	74	2635	18.3	1982	Japan
Mazda	GLC	46.6	4	86	65	2110	17.9	1980	Japan
Mazda	GLC 4	34.1	4	91	68	1985	16	1982	Japan
Mazda	GLC Custom	31	4	91	68	1970	17.6	1982	Japan
Mazda	GLC Custom L	37	4	91	68	2025	18.2	1982	Japan
Mazda	GLC Deluxe	32.8	4	78	52	1985	19.4	1978	Japan
Mazda	RX4	21.5	3	80	110	2720	13.5	1977	Japan
Mazda	RX7 GS	23.7	3	70	100	2420	12.5	1980	Japan
Mazda	RX2 Coupe	19	3	70	97	2330	13.5	1972	Japan
Mazda	RX3	18	3	70	90	2124	13.5	1973	Japan
Mercedes-Benz	240D	30	4	146	67	3250	21.8	1980	Europe
Mercedes-Benz	280S	16.5	6	168	120	3820	16.7	1976	Europe
Mercedes-Benz	300D	25.4	5	183	77	3530	20.1	1979	Europe
Mercury	Capri 2000	23	4	122	86	2220	14	1971	USA
Mercury	Capri v6	21	6	155	107	2472	14	1973	USA
Mercury	Cougar Brougham	15	8	302	130	4295	14.9	1977	USA
Mercury	Grand Marquis	16.5	8	351	138	3955	13.2	1979	USA
Mercury	Lynx L	36	4	98	70	2125	17.3	1982	USA
Mercury	Marquis	11	8	429	208	4633	11	1972	USA
Mercury	Marquis Brougham	12	8	429	198	4952	11.5	1973	USA
Mercury	Monarch	15	6	250	72	3432	21	1975	USA
Mercury	Monarch Ghia	20.2	8	302	139	3570	12.8	1978	USA
Mercury	Zephyr	20.8	6	200	85	3070	16.7	1978	USA
Mercury	Zephyr 6	19.8	6	200	85	2990	18.2	1979	USA
Nissan	Stanza xe	36	4	120	88	2160	14.5	1982	Japan
Oldsmobile	Cutlass Ciera (diesel)	38	6	262	85	3015	17	1982	USA
Oldsmobile	Cutlass LS	26.6	8	350	105	3725	19	1982	USA
Oldsmobile	Cutlass Salon Brougham	19.9	8	260	110	3365	15.5	1978	USA
Oldsmobile	Cutlass Salon Brougham	23.9	8	260	90	3420	22.2	1979	USA
Oldsmobile	Cutlass Supreme	17	8	260	110	4060	19	1977	USA
Oldsmobile	Delta 88 Royale	12	8	350	160	4456	13.5	1972	USA
Oldsmobile	Omega	11	8	350	180	3664	11	1973	USA
Oldsmobile	Omega Brougham	26.8	6	173	115	2700	12.9	1979	USA
Oldsmobile	Starfire SX	23.8	4	151	85	2855	17.6	1978	USA
Oldsmobile	Vista Cruiser	12	8	350	180	4499	12.5	1973	USA
Opel	1900	25	4	116	81	2220	16.9	1976	Europe
Opel	1900	28	4	116	90	2123	14	1971	Europe
Opel	Manta	24	4	116	75	2158	15.5	1973	Europe
Opel	Manta	26	4	97	78	2300	14.5	1974	Europe
Peugeot	304	30	4	79	70	2074	19.5	1971	Europe
Peugeot	504	19	4	120	88	3270	21.9	1976	Europe
Peugeot	504	23	4	120	88	2957	17	1975	Europe
Peugeot	504	25	4	110	87	2672	17.5	1970	Europe
Peugeot	504	27.2	4	141	71	3190	24.8	1979	Europe
Peugeot	504	21	4	120	87	2979	19.5	1972	Europe
Peugeot	505S Turbo Diesel	28.1	4	141	80	3230	20.4	1982	Europe
Peugeot	604SL	16.2	6	163	133	3410	15.8	1978	Europe
Plymouth	'cuda 340	14	8	340	160	3609	8	1970	USA
Plymouth	Arrow GS	25.5	4	122	96	2300	15.5	1977	USA
Plymouth	Champ	39	4	86	64	1875	16.4	1982	USA
Plymouth	Cricket	26	4	91	70	1955	20.5	1971	USA
Plymouth	Custom Suburb	13	8	360	170	4654	13	1973	USA
Plymouth	Duster	20	6	198	95	3102	16.5	1974	USA
Plymouth	Duster	22	6	198	95	2833	15.5	1970	USA
Plymouth	Duster	23	6	198	95	2904	16	1973	USA
Plymouth	Fury	18	6	225	95	3785	19	1975	USA
Plymouth	Fury Gran Sedan	14	8	318	150	4237	14.5	1973	USA
Plymouth	Fury III	14	8	318	150	4096	13	1971	USA
Plymouth	Fury III	14	8	440	215	4312	8.5	1970	USA
Plymouth	Fury III	15	8	318	150	4135	13.5	1972	USA
Plymouth	Grand Fury	16	8	318	150	4498	14.5	1975	USA
Plymouth	Horizon	34.2	4	105	70	2200	13.2	1979	USA
Plymouth	Horizon 4	34.7	4	105	63	2215	14.9	1982	USA
Plymouth	Horizon Miser	38	4	105	63	2125	14.7	1982	USA
Plymouth	Horizon TC3	34.5	4	105	70	2150	14.9	1979	USA
Plymouth	Reliant	27.2	4	135	84	2490	15.7	1982	USA
Plymouth	Sapporo	23.2	4	156	105	2745	16.7	1978	USA
Plymouth	Satellite	18	8	318	150	3436	11	1970	USA
Plymouth	Satellite Custom	16	6	225	105	3439	15.5	1971	USA
Plymouth	Satellite Custom	14	8	318	150	4077	14	1972	USA
Plymouth	Satellite Sebring	18	6	225	105	3613	16.5	1974	USA
Plymouth	Valiant	18	6	225	105	3121	16.5	1973	USA
Plymouth	Valiant	22	6	225	100	3233	15.4	1976	USA
Plymouth	Valiant Custom	19	6	225	95	3264	16	1975	USA
Plymouth	Volare	20.5	6	225	100	3430	17.2	1978	USA
Plymouth	Volare Custom	19	6	225	100	3630	17.7	1977	USA
Plymouth	Volare Premier V8	13	8	318	150	3940	13.2	1976	USA
Pontiac	Astro	23	4	140	78	2592	18.5	1975	USA
Pontiac	Catalina	14	8	400	175	4385	12	1972	USA
Pontiac	Catalina	14	8	455	225	4425	10	1970	USA
Pontiac	Catalina	16	8	400	170	4668	11.5	1975	USA
Pontiac	Catalina Brougham	14	8	400	175	4464	11.5	1971	USA
Pontiac	Firebird	19	6	250	100	3282	15	1971	USA
Pontiac	Grand Prix	16	8	400	230	4278	9.5	1973	USA
Pontiac	Grand Prix lj	16	8	400	180	4220	11.1	1977	USA
Pontiac	J2000 SE Hatchback	31	4	112	85	2575	16.2	1982	USA
Pontiac	Lemans v6	21.5	6	231	115	3245	15.4	1979	USA
Pontiac	Phoenix	27	4	151	90	2735	18	1982	USA
Pontiac	Phoenix	33.5	4	151	90	2556	13.2	1979	USA
Pontiac	Phoenix LJ	19.2	6	231	105	3535	19.2	1978	USA
Pontiac	Safari	13	8	400	175	5140	12	1971	USA
Pontiac	Sunbird Coupe	24.5	4	151	88	2740	16	1977	USA
Pontiac	Ventura SJ	18.5	6	250	110	3645	16.2	1976	USA
Renault	12	26	4	96	69	2189	18	1972	Europe
Renault	12TL	27	4	101	83	2202	15.3	1976	Europe
Renault	18I	34.5	4	100	83	2320	15.8	1982	Europe
Renault	5 GTL	36	4	79	58	1825	18.6	1977	Europe
Renault	LeCar Deluxe	40.9	4	85	18.6	1835	17.3	1980	Europe
Saab	900S	25	4	121	110	2800	15.4	1982	Europe
Saab	99E	25	4	104	95	2375	17.5	1970	Europe
Saab	99GLE	21.6	4	121	115	2795	15.7	1978	Europe
Saab	99LE	24	4	121	110	2660	14	1973	Europe
Saab	99LE	25	4	121	115	2671	13.5	1975	Europe
Subaru	DL	30	4	97	67	1985	16.4	1977	Japan
Subaru	DL	33.8	4	97	67	2145	18	1980	Japan
Toyota	Carina	20	4	97	88	2279	19	1973	Japan
Toyota	Celica GT	32	4	144	96	2665	13.9	1982	Japan
Toyota	Celica GT Liftback	21.1	4	134	95	2515	14.8	1978	Japan
Toyota	Corolla	28	4	97	75	2155	16.4	1976	Japan
Toyota	Corolla	29	4	97	75	2171	16	1975	Japan
Toyota	Corolla	32.2	4	108	75	2265	15.2	1980	Japan
Toyota	Corolla	32.4	4	108	75	2350	16.8	1982	Japan
Toyota	Corolla 1200	31	4	71	65	1773	19	1971	Japan
Toyota	Corolla 1200	32	4	71	65	1836	21	1974	Japan
Toyota	Corolla 1600	27	4	97	88	2100	16.5	1972	Japan
Toyota	Corolla Liftback	26	4	97	75	2265	18.2	1977	Japan
Toyota	Corolla Tercel	38.1	4	89	60	1968	18.8	1980	Japan
Toyota	Corona	24	4	134	96	2702	13.5	1975	Japan
Toyota	Corona	25	4	113	95	2228	14	1971	Japan
Toyota	Corona	27.5	4	134	95	2560	14.2	1978	Japan
Toyota	Corona	31	4	76	52	1649	16.5	1974	Japan
Toyota	Corona Hardtop	24	4	113	95	2278	15.5	1972	Japan
Toyota	Corona Liftback	29.8	4	134	90	2711	15.5	1980	Japan
Toyota	Corona Mark II	24	4	113	95	2372	15	1970	Japan
Toyota	Corona Mark II	23	4	120	97	2506	14.5	1972	Japan
Toyota	Cressida	25.4	6	168	116	2900	12.6	1982	Japan
Toyota	Mark II	19	6	156	108	2930	15.5	1976	Japan
Toyota	Mark II	20	6	156	122	2807	13.5	1973	Japan
Toyota	Starlet	39.1	4	79	58	1755	16.9	1982	Japan
Toyota	Tercel	37.7	4	89	62	2050	17.3	1982	Japan
Triumph	TR7 Coupe	35	4	122	88	2500	15.1	1980	Europe
Volkswagen	1131 Deluxe Sedan	26	4	97	46	1835	20.5	1970	Europe
Volkswagen	411	22	4	121	76	2511	18	1972	Europe
Volkswagen	Dasher	25	4	90	71	2223	16.5	1975	Europe
Volkswagen	Dasher	26	4	79	67	1963	15.5	1974	Europe
Volkswagen	Dasher	30.5	4	97	78	2190	14.1	1977	Europe
Volkswagen	Dasher (diesel)	43.4	4	90	48	2335	23.7	1980	Europe
Volkswagen	Jetta	33	4	105	74	2190	14.2	1982	Europe
Volkswagen	Model 111	27	4	97	60	1834	19	1971	Europe
Volkswagen	Pickup	44	4	97	52	2130	24.6	1982	Europe
Volkswagen	Rabbit	29	4	90	70	1937	14	1975	Europe
Volkswagen	Rabbit	29.5	4	97	71	1825	12.2	1976	Europe
Volkswagen	Rabbit	41.5	4	98	76	2144	14.7	1980	Europe
Volkswagen	Rabbit C (diesel)	44.3	4	90	48	2085	21.7	1980	Europe
Volkswagen	Rabbit Custom	29	4	97	78	1940	14.5	1977	Europe
Volkswagen	Rabbit Custom	31.9	4	89	71	1925	14	1979	Europe
Volkswagen	Rabbit Custom Diesel	43.1	4	90	48	1985	21.5	1978	Europe
Volkswagen	Rabbit L	36	4	105	74	1980	15.3	1982	Europe
Volkswagen	Scirocco	31.5	4	89	71	1990	14.9	1978	Europe
Volkswagen	Super Beetle	26	4	97	46	1950	21	1973	Europe
Volkswagen	Super Beetle 117	26	4	97	48	1978	20	1971	Europe
Volkswagen	Type 3	23	4	97	54	2254	23.5	1972	Europe
Volvo	144EA	19	4	121	112	2868	15.5	1973	Europe
Volvo	145E	18	4	121	112	2933	14.5	1972	Europe
Volvo	244DL	22	4	121	98	2945	14.5	1975	Europe
Volvo	245	20	4	130	102	3150	15.7	1976	Europe
Volvo	264GL	17	6	163	125	3140	13.6	1978	Europe
Volvo	Diesel	30.7	6	145	76	3160	19.6	1982	Europe
