id	name	genreId	directorId	year	rating	overview	image
m015	The Dark Knight	g01	p051	2008	8.5	Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.	/qJ2tW6WMUDux911r6m7haRef0WH.jpg
m016	Your Eyes Tell	g04	p055	2020	8.5	A tragic accident lead to Kaori's blindness, but she clings to life and the smaller pleasures it can still afford her. She meets Rui and begins to talk to him. Rui was once a promising kickboxer, but something happened in his past. Kaori's smile brings out a change in Rui. However, the two are connected in more than one way. Rui attempts to do what is right.	/cVn8E3Fxbi8HzYYtaSfsblYC4gl.jpg
m017	The Good, the Bad and the Ugly	g07	p059	1966	8.5	While the Civil War rages on, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.	/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg
m018	Pulp Fiction	g08	p063	1994	8.5	A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.	/fIE3lAGcZDV1G6XM5KmuWnNsPp1.jpg
m019	Purple Hearts	g04	p067	2022	8.5	An aspiring musician agrees to a marriage of convenience with a soon-to-deploy Marine, but a tragedy soon turns their fake relationship all too real.	/4JyNWkryifWbWXJyxcWh3pVya6N.jpg
m020	The Lord of the Rings: The Return of the King	g09	p071	2003	8.5	Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.	/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
m021	Forrest Gump	g02	p075	1994	8.5	A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.	/saHP97rTPS5eLmrLQEcANmKrsFl.jpg
m022	Gabriel's Inferno: Part III	g04	p039	2020	8.5	The final part of the film adaption of the erotic romance novel Gabriel's Inferno written by an anonymous Canadian author under the pen name Sylvain Reynard.	/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg
m023	GoodFellas	g01	p079	1990	8.5	The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.	/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg
m024	Cinema Paradiso	g01	p083	1988	8.5	A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.	/8SRUfRUi6x4O68n0VCbDNRa6iGL.jpg
m025	Seven Samurai	g10	p087	1954	8.5	A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.	/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg
m026	Life Is Beautiful	g02	p091	1997	8.5	A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.	/mfnkSeeVOBVheuyn2lo4tfmOPQb.jpg
m027	Once Upon a Time in America	g01	p059	1984	8.4	A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.	/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg
m028	Psycho	g11	p096	1960	8.4	When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.	/uK46P78BvWGDW4dbq9C13LAwpmw.jpg
m029	Harakiri	g10	p100	1962	8.4	Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.	/w7pWcLaYQkbtRUn99K6ome0DblL.jpg
m030	Grave of the Fireflies	g05	p104	1988	8.4	In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.	/qG3RYlIVpTYclR9TYIsy8p7m7AT.jpg
m031	Josee, the Tiger and the Fish	g05	p108	2020	8.4	With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.	/z1D8xi9x4uEhyFruo7uEHXUMD4K.jpg
m032	A Dog's Will	g02	p112	2000	8.4	The lively Jack the Cricket and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.	/m8eFedsS7vQCZCS8WGp5n1bVD0q.jpg
m033	Fight Club	g01	p116	1999	8.4	A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground "fight clubs" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.	/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg
m034	One Flew Over the Cuckoo's Nest	g01	p120	1975	8.4	A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.	/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg
m035	Spider-Man: Into the Spider-Verse	g10	p124	2018	8.4	Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson "Kingpin" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.	/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
m036	Hotarubi no Mori e	g04	p128	2011	8.4	One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...	/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg
m037	Evangelion: 3.0+1.0 Thrice Upon a Time	g05	p132	2021	8.4	In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each of them live a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.	/md5wZRRj8biHrGtyitgBZo7674t.jpg
m038	City of God	g01	p136	2002	8.4	In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.	/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg
m039	A Silent Voice: The Movie	g05	p140	2016	8.4	Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?	/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg
m040	Neon Genesis Evangelion: The End of Evangelion	g01	p132	1997	8.4	The second of two theatrically released follow-ups to the Neon Genesis Evangelion series. Comprising of two alternate episodes which were first intended to take the place of episodes 25 and 26, this finale answers many of the questions surrounding the series, while also opening up some new possibilities.	/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg
m041	Violet Evergarden: The Movie	g05	p144	2020	8.4	As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.	/bajajkoErDst0JxdFyBkABiF9rW.jpg
m042	Howl's Moving Castle	g06	p027	2004	8.4	When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.	/1QRmDIYOMzdcTBaf0Pn09fCi83x.jpg
m043	Primal: Tales of Savagery	g10	p151	2019	8.4	Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.	/9NBBkdxH0TjQEBSN2AzeE1sgsF9.jpg
m044	Hope	g01	p155	2013	8.4	After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.	/z4lNqsc7uhSbtbniOS6r0fTIvv5.jpg
m045	The Empire Strikes Back	g09	p159	1980	8.4	The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.	/2l05cFWJacyIsTpsqSgH0wQXe4V.jpg
m046	Sunset Boulevard	g01	p163	1950	8.4	A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.	/sC4Dpmn87oz9AuxZ15Lmip0Ftgr.jpg
m047	The Shop Around the Corner	g02	p167	1940	8.4	Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.	/dZ1aEzGYRiqJwPfjS6VL7wUkHmF.jpg
m048	The Lord of the Rings: The Fellowship of the Ring	g09	p071	2001	8.4	Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.	/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg
m049	Ikiru	g01	p087	1952	8.4	Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.	/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg
m050	The Pianist	g01	p174	2002	8.4	The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.	/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg
m051	Wolfwalkers	g05	p178	2020	8.4	In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.	/ehAKuE48okTuonq6TpsNQj8vFTC.jpg
m052	Interstellar	g09	p051	2014	8.4	The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.	/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
m053	Whiplash	g01	p185	2014	8.4	Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.	/oPxnRhyAIzJKGUEdSiwTJQBa3NM.jpg
m054	The Lord of the Rings: The Two Towers	g09	p071	2002	8.4	Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.	/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg
m055	American History X	g01	p189	1998	8.4	Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.	/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg
m056	Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train	g05	p192	2020	8.4	Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!	/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
m057	Rear Window	g08	p096	1954	8.4	A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.	/qitnZcLP7C9DLRuPpmvZ7GiEjJN.jpg
m058	Inception	g10	p051	2010	8.4	Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: "inception", the implantation of another person's idea into a target's subconscious.	/8IB2e4r4oVhHnANbnm7O3Tj6tF8.jpg
m059	Se7en	g12	p116	1995	8.4	Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the "seven deadly sins" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.	/69Sns8WoET6CfaYlIkHbla4l7nC.jpg
m060	High and Low	g12	p087	1963	8.4	An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.	/tgNjemQPG96uIezpiUiXFcer5ga.jpg
m061	Dedicated to my ex	g01	p203	2019	8.4	The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.	/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg
m062	Princess Mononoke	g09	p027	1997	8.4	Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.	/cMYCDADoLKLbB83g4WnJegaZimC.jpg
m063	City Lights	g02	p210	1931	8.3	In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.	/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg
m064	The Great Dictator	g02	p210	1940	8.3	Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.	/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg
m065	Given	g05	p215	2020	8.3	The relationship between a band's bassist, their drummer, and the drummer’s roommate and ex-boyfriend, who is a professional violinist.	/xKCtoYHUyX8zAg68eemnYa2orep.jpg
m066	The Silence of the Lambs	g12	p219	1991	8.3	Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.	/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg
m067	Clouds	g13	p223	2020	8.3	Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.	/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg
m068	Top Gun: Maverick	g10	p227	2022	8.3	After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.	/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
m069	Dead Poets Society	g01	p230	1989	8.3	At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.	/ai40gM7SUaGA6fthvsd87o8IQq4.jpg
m070	Léon: The Professional	g12	p234	1994	8.3	Léon, the top hit man in New York, has earned a rep as an effective "cleaner". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps.	/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg
m071	Come and See	g01	p238	1985	8.3	The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.	/qNbMsKVzigERgJUbwf8pKyZogpb.jpg
m072	Modern Times	g02	p210	1936	8.3	The Tramp struggles to live in modern industrial society with the help of a young homeless woman.	/9xeglIbChLIe0P4fTQNAdlG2v0C.jpg
m073	Hamilton	g14	p244	2020	8.3	Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.	/h1B7tW0t399VDjAcWJh8m87469b.jpg
m074	Five Feet Apart	g04	p223	2019	8.3	Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.	/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg
m075	Once Upon a Time in the West	g01	p059	1968	8.3	As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.	/qbYgqOczabWNn2XKwgMtVrntD6P.jpg
m076	Justice League Dark: Apokolips War	g05	p254	2020	8.3	Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.	/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg
m077	Back to the Future	g09	p075	1985	8.3	Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.	/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg
m078	Life in a Year	g01	p261	2020	8.3	A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.	/bP7u19opmHXYeTCUwGjlLldmUMc.jpg
m079	Paths of Glory	g01	p265	1957	8.3	A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.	/l2IY0gOHHmCWM90LjteFssxIV1G.jpg
m080	A Brighter Summer Day	g12	p269	1991	8.3	A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.	/rDZ2mNQkZrnSzHPLQ7SzhzgCSoj.jpg
m081	Woman in the Dunes	g01	p273	1964	8.3	An entomologist suffers extreme psychological and sexual torture after being taken captive by the residents of a poor seaside village.	/rE6vtXBDXy3cjyFmxfsDese0Eo4.jpg
m082	We All Loved Each Other So Much	g01	p277	1974	8.3	Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.	/zGGWYpiKNwjpKxelPxOMqJnUgDs.jpg
m083	Le Trou	g12	p281	1960	8.3	Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.	/8tAyoNf8M4nnMtjZ3RPwDJcx0yL.jpg
m084	Perfect Blue	g05	p285	1997	8.3	A retired pop singer turned actress' sense of reality is shaken when she is stalked by an obsessed fan and seemingly a ghost of her past.	/79vujbsWEbX4dzffBV541QXN6sf.jpg
m085	Better Days	g01	p289	2019	8.3	A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.	/csVZ2ZQCj98XdZoCuW1aixMYJ0W.jpg
m086	Rascal Does Not Dream of a Dreaming Girl	g05	p293	2019	8.3	In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.	/7Ai8vNEv4zEveh12JViGikoVPVV.jpg
m087	Apocalypse Now	g01	p009	1979	8.3	At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, "does not exist, nor will it ever exist." His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.	/fpM34wbSvkmR0wFQSmcAsZrTYvw.jpg
m088	Steven Universe: The Movie	g05	p298	2019	8.3	Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.	/8mRgpubxHqnqvENK4Bei30xMDvy.jpg
m089	Avengers: Endgame	g09	p302	2019	8.3	After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.	/or06FN3Dka5tukK1e9sl16pB3iy.jpg
m090	Mommy	g01	p306	2014	8.3	A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.	/zPLyLO68iiiSF8ASGtmfXGf2EMN.jpg
m091	The Legend of 1900	g01	p083	1998	8.3	The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 (Tim Roth) learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.	/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg
m092	Tokyo Story	g01	p313	1953	8.3	The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.	/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg
m093	My Hero Academia: Heroes Rising	g05	p317	2019	8.3	Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.	/zGVbrulkupqpbwgiNedkJPyQum4.jpg
m094	Miracle in Cell No. 7	g01	p321	2019	8.3	Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.	/bOth4QmNyEkalwahfPCfiXjNh1r.jpg
m095	Oldboy	g01	p325	2003	8.3	With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors.	/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg
m096	The Handmaiden	g08	p325	2016	8.3	A Japanese woman hires a handmaiden who is secretly working with a con man to cheat her out of her wealth.	/ic4s9k48semzBCUrbglyCmnGaHJ.jpg
